"","CHILD_DEATH_YR","CNT_BY_UNDERLYING_COD","CNTY_YR_DEATH_TOTAL","CNTY_YR_DEATH_TOTAL_PER_10000_CNTY_RES","CNTY"
"670","2014","1",13,0.7,"TIPPECANOE"
"671","2015","6",15,0.8,"TIPPECANOE"
"672","2015","1",15,0.8,"TIPPECANOE"
"673","2016","1",3,0.15,"TIPPECANOE"
"674","2017","2",8,0.42,"TIPPECANOE"
"675","2017","1",8,0.42,"TIPPECANOE"
"676","2018","2",9,0.47,"TIPPECANOE"
"677","2018","1",9,0.47,"TIPPECANOE"
"678","2010","1",2,1.25,"TIPTON"
"679","2011","1",1,0.63,"TIPTON"
"680","2012","1",1,0.63,"TIPTON"
"681","2013","1",1,0.64,"TIPTON"
"682","2015","1",1,0.65,"TIPTON"
"683","2016","2",2,1.31,"TIPTON"
"684","2010","2",5,0.27,"VANDERBURGH"
"685","2010","1",5,0.27,"VANDERBURGH"
"686","2011","1",5,0.27,"VANDERBURGH"
"687","2012","1",12,0.66,"VANDERBURGH"
"688","2013","2",10,0.55,"VANDERBURGH"
"689","2013","1",10,0.55,"VANDERBURGH"
"690","2014","1",7,0.38,"VANDERBURGH"
"691","2015","2",7,0.38,"VANDERBURGH"
"692","2015","1",7,0.38,"VANDERBURGH"
"693","2016","4",10,0.55,"VANDERBURGH"
"694","2016","1",10,0.55,"VANDERBURGH"
"695","2017","1",7,0.38,"VANDERBURGH"
"696","2018","2",13,0.71,"VANDERBURGH"
"697","2018","1",13,0.71,"VANDERBURGH"
"698","2015","1",1,0.63,"VERMILLION"
"699","2017","1",1,0.63,"VERMILLION"
"700","2010","2",4,0.37,"VIGO"
"701","2010","1",4,0.37,"VIGO"
"702","2011","1",4,0.36,"VIGO"
"703","2012","1",6,0.55,"VIGO"
"704","2013","1",2,0.18,"VIGO"
"705","2014","3",9,0.83,"VIGO"
"706","2014","1",9,0.83,"VIGO"
"707","2015","2",7,0.64,"VIGO"
"708","2015","1",7,0.64,"VIGO"
"709","2016","1",4,0.37,"VIGO"
"710","2017","2",10,0.92,"VIGO"
"711","2017","1",10,0.92,"VIGO"
"712","2018","1",4,0.37,"VIGO"
"713","2010","1",1,0.3,"WABASH"
"714","2011","1",3,0.92,"WABASH"
"715","2012","2",2,0.61,"WABASH"
"716","2014","1",1,0.31,"WABASH"
"717","2015","1",2,0.62,"WABASH"
"718","2016","1",2,0.62,"WABASH"
"719","2012","1",1,1.19,"WARREN"
"720","2017","1",1,1.22,"WARREN"
"721","2018","1",2,2.44,"WARREN"
"722","2011","1",1,0.16,"WARRICK"
"723","2012","1",1,0.16,"WARRICK"
"724","2013","1",1,0.16,"WARRICK"
"725","2014","1",2,0.32,"WARRICK"
"726","2015","1",2,0.32,"WARRICK"
"727","2016","1",2,0.32,"WARRICK"
"728","2017","1",4,0.64,"WARRICK"
"729","2010","1",1,0.35,"WASHINGTON"
"730","2012","1",3,1.07,"WASHINGTON"
"731","2013","1",1,0.35,"WASHINGTON"
"732","2018","1",1,0.36,"WASHINGTON"
"733","2010","1",2,0.29,"WAYNE"
"734","2011","2",2,0.29,"WAYNE"
"735","2012","3",7,1.02,"WAYNE"
"736","2012","1",7,1.02,"WAYNE"
"737","2013","2",5,0.73,"WAYNE"
"738","2013","1",5,0.73,"WAYNE"
"739","2014","1",3,0.44,"WAYNE"
"740","2015","1",5,0.74,"WAYNE"
"741","2016","1",2,0.3,"WAYNE"
"742","2017","1",4,0.6,"WAYNE"
"743","2018","1",3,0.45,"WAYNE"
"744","2010","1",1,0.36,"WELLS"
"745","2011","1",3,1.08,"WELLS"
"746","2012","1",1,0.36,"WELLS"
"747","2014","1",1,0.35,"WELLS"
"748","2015","1",1,0.35,"WELLS"
"749","2018","1",1,0.35,"WELLS"
"750","2010","1",1,0.4,"WHITE"
"751","2011","1",1,0.4,"WHITE"
"752","2012","1",1,0.41,"WHITE"
"753","2013","1",2,0.82,"WHITE"
"754","2014","1",2,0.82,"WHITE"
"755","2015","1",1,0.41,"WHITE"
"756","2017","1",2,0.83,"WHITE"
"757","2018","1",3,1.25,"WHITE"
"758","2010","1",2,0.6,"WHITLEY"
"759","2011","1",1,0.3,"WHITLEY"
"760","2013","1",2,0.6,"WHITLEY"
"761","2014","1",3,0.89,"WHITLEY"
"762","2016","1",4,1.19,"WHITLEY"
"763","2017","1",4,1.19,"WHITLEY"
"764","2018","1",1,0.29,"WHITLEY"
